week_start,week_end,keyword,weekly_video_mentions,weekly_views,weekly_likes,weekly_comments,weekly_api_hits,top_channels_week,avg_views_per_video,avg_likes_per_video,avg_comments_per_video,as_of_details_fetched_utc
2025-08-08,2025-08-14,samyang,268.0,10193656.0,224779.0,4173.0,291,Jessica Effendy;tanboy kun;KeiKei,,,,
2025-08-08,2025-08-14,shin ramen,44.0,2016660.0,8562.0,284.0,230,irene kim 김예린;Delicious Miniature;CHAMLING,,,,
2025-08-08,2025-08-14,shin ramyun,77.0,303096.0,8127.0,255.0,226,N.E Let's Eat;Yiz;Yuri,,,,
2025-08-15,2025-08-21,bibigo,21.0,58039.0,2065.0,52.0,35,Choetina;NateVlog;三和交通チャンネル,,,,
2025-08-15,2025-08-21,buldak,493.0,12199931.0,290564.0,5708.0,506,흥삼이네 Heungsam's Family;문복희 Eat with Boki;떵개떵,,,,
2025-08-15,2025-08-21,chamisul,1.0,158.0,2.0,0.0,7,지식까마귀,,,,
2025-08-15,2025-08-21,chum churum,0.0,0.0,0.0,0.0,0,,,,,
2025-08-15,2025-08-21,jin ramen,48.0,125182.0,2244.0,51.0,246,DumDum;I'm Kazakh BTS ARMY ;Catching Seafood,,,,
2025-08-15,2025-08-21,nongshim,68.0,8272457.0,18725.0,285.0,123,LCK Global;VALORANT Champions Tour Pacific;Daily Valorant,,,,
2025-08-15,2025-08-21,pulmuone,4.0,16177.0,606.0,30.0,7,N.E Let's Eat;保健原料專門家-綠茵生技;Daily Fun Life,,,,
2025-08-15,2025-08-21,samyang,279.0,4955709.0,86785.0,2037.0,342,GAMERS BUCIN;Erika Kaa;Eat Sambel,,,,
2025-08-15,2025-08-21,shin ramen,46.0,932373.0,10643.0,302.0,294,MARIA OZAWA【Official】;vivivibes;dbest Taste,,,,
2025-08-15,2025-08-21,shin ramyun,89.0,1553711.0,36424.0,1455.0,294,Doobydobap;Mikasa;吃飯兄弟DiningBro,,,,
2025-08-22,2025-08-28,bibigo,26.0,23040.0,196.0,14.0,38,비비고 (bibigo);No Menu Cooking;제당슈만,,,,
2025-08-22,2025-08-28,buldak,485.0,17136181.0,443349.0,7278.0,505,Kim&Liz Too;Sydney Everhart;irene kim 김예린,,,,
2025-08-22,2025-08-28,chamisul,1.0,126.0,0.0,0.0,8,DIPAK Vlog ,,,,
2025-08-22,2025-08-28,chum churum,0.0,0.0,0.0,0.0,0,,,,,
2025-08-22,2025-08-28,jin ramen,29.0,71453.0,1101.0,44.0,220,BlakeBlake;Jenna Laine;AnnieNorthman89,,,,
2025-08-22,2025-08-28,nongshim,74.0,4108397.0,24705.0,920.0,119,SAS-ASMR;LCK Global;Caedrel,,,,
2025-08-22,2025-08-28,pulmuone,0.0,0.0,0.0,0.0,3,,,,,
2025-08-22,2025-08-28,samyang,313.0,8122394.0,110881.0,16497.0,380,KeiKei;TUKANG BEDAH | PESEN MENU TERMAHAL;Adi Dharma,,,,
2025-08-22,2025-08-28,shin ramen,60.0,2625354.0,5460.0,237.0,337,KULU Eats;Angie's Table;dbest Taste,,,,
2025-08-22,2025-08-28,shin ramyun,92.0,1419921.0,37665.0,1061.0,334,Khana Pakana Dill Seey;cheezballz;FOOD REVIEWS & MORE ,,,,
2025-08-29,2025-09-04,chamisul,2.0,1098.0,28.0,0.0,3,Blueming05;수이트 Suite ,549.0,14.0,0.0,2025-09-16T08:48:28Z
2025-08-29,2025-09-04,buldak,483.0,18015969.0,433480.0,8488.0,502,GONGSAM TABLE 이공삼;Kim&Liz Too;Kim&Liz ASMR,37300.142857142855,897.4741200828157,17.573498964803314,2025-09-16T08:48:28Z
