week_start,week_end,keyword,channel,channel_id,matched_videos,views,likeCount,commentCount,subscribers,channel_video_count,engagement,as_of_details_fetched_utc
2025-08-01,2025-08-07,buldak,Irene's Table,UCPnx1uHc2_cgb2BFkn8_61w,1,805,7,0,68,66,7,
2025-08-01,2025-08-07,buldak, Binti,UC6bEf6rFNQLdkRXhpoSfovA,1,2219,9,0,172,79,9,
2025-08-01,2025-08-07,buldak, قناه يلا نجرب,UCs9Hn-qrFs7-Nc-v4_wXFyA,1,6364,54,1,302,120,55,
2025-08-01,2025-08-07,buldak,118o8,UCBU1rrfhs-Ydq_e1BseQurg,1,220,4,0,164,76,4,
2025-08-01,2025-08-07,buldak,60sec kitchennn,UCiZNK3uR19e_WBlvuB08aZg,3,8265,96,9,151,48,105,
2025-08-01,2025-08-07,buldak,916FAMBAM,UCqMDjQTst6DZp1rcbTWQHZw,1,692,16,3,59,61,19,
2025-08-01,2025-08-07,buldak,@BTP ASMR🧿,UCnGOdHn0ENjriGfTiNL12ew,1,17082,0,5,1150,148,5,
2025-08-01,2025-08-07,buldak,@daliy_did’s,UCs80WYkQ40I6tgAR3XSsqHQ,1,714,14,2,148,127,16,
2025-08-01,2025-08-07,buldak,A NEW CHAPTER ,UCSc-rQOaqLXazaFYaluZGWA,1,200,7,1,19,21,8,
2025-08-01,2025-08-07,buldak,ASMR Mbrella Studio,UCUWYDe-EvF8V2fWwUaUPKWg,1,1751,13,0,74,81,13,
2025-08-01,2025-08-07,buldak,AZ creation💫,UCaCk75PFIsEKhyhD95lWftw,1,85,1,0,30,87,1,
2025-08-01,2025-08-07,buldak,Aaliya’s Cuisine,UCBJq2vJztc-TwYnhtVkisJg,1,1602,47,0,1480,1220,47,
2025-08-01,2025-08-07,buldak,Aaron Yarbrough,UCVLWtYLZKAdcInt3xXw4oVA,1,630205,32544,402,217000,140,32946,
2025-08-01,2025-08-07,buldak,Ada,UCf8T2yWG70n1oHtU_sKXjqg,1,1134,14,2,351,288,16,
2025-08-01,2025-08-07,buldak,AiLusion Studio,UCAO2-qDFJR8a5t9D5A5osYw,1,780,12,0,110,111,12,
2025-08-01,2025-08-07,buldak,Aismr glow,UCnO3rUV5NfSTMnckggI8k3Q,1,1937,28,3,3410,72,31,
2025-08-01,2025-08-07,buldak,Alivia Donai ,UCFLrwzF6qPrj3J3G5c9bmmA,1,3031579,102878,672,894000,181,103550,
2025-08-01,2025-08-07,buldak,All of Alisha,UC42Hjavqeao9GVYS-4tShLw,1,1779,25,1,794,163,26,
2025-08-01,2025-08-07,buldak,Allrecipes,UC4tAgeVdaNB5vD_mBoxg50w,1,63170,1499,51,2510000,4799,1550,
2025-08-01,2025-08-07,buldak,Aman😋,UCN9Lcxihfc_O1m1gxeHVqPw,1,40,1,0,1160,1359,1,
2025-08-01,2025-08-07,buldak,Amber ,UCwrjkVthvMRQ-d4lQiu0Evg,1,2161,15,2,1050,141,17,
2025-08-01,2025-08-07,buldak,Amy Lee,UCwGsUwUP4ZKMKY2in1BEvRw,1,749,6,0,27,120,6,
2025-08-01,2025-08-07,buldak,Ana Palacio,UCXrBtFiEJ73gbZOS-suQI8Q,1,13688,970,6,807,25,976,
2025-08-01,2025-08-07,buldak,Andrea Torres,UCnMij6TJEmu09MbL9AchZxA,1,2367,18,1,18,32,19,
2025-08-01,2025-08-07,buldak,Angelique Rodriguez,UC-rU5srXFHch4Y8n7giMSOQ,1,4,0,0,14,175,0,
2025-08-01,2025-08-07,buldak,AnjuThapa # foodie 😋,UCj6ixQrASmEMH1wN1seopZQ,1,1071,9,0,265,320,9,
2025-08-01,2025-08-07,buldak,Anshi_vlog verse,UCl9og2wGGg15gk5zgcdwzYQ,1,3298,69,3,84,6,72,
2025-08-01,2025-08-07,buldak,Anto,UCA5gDT6HotOluF-MU2D-7_Q,1,1785,20,6,4,2,26,
2025-08-01,2025-08-07,buldak,Anxiety Doll,UCrfazZkwgZlGisUMXoXs0pg,1,28255,139,49,10900,537,188,
2025-08-01,2025-08-07,buldak,Archimedes X1 STEM,UCyTRNMjK2JuYuDQjcB1oMpA,1,80,5,3,10,10,8,
2025-08-01,2025-08-07,buldak,Artsybyher,UCH2S4Ta89_aFs_2vyuFsE0A,1,7823,60,2,41,32,62,
2025-08-01,2025-08-07,buldak,Asia Yum,UC8oIaMA7KvWpdOpioU_iP-Q,1,678,2,0,70,48,2,
2025-08-01,2025-08-07,buldak,At the Family Table,UCJSBzEMm6CPOUFN_6LDKuew,1,2528,50,4,2390,130,54,
2025-08-01,2025-08-07,buldak,Avoiding Stress,UCg7k86xhD9iQNtSEz2EvgFQ,1,0,0,0,16,75,0,
2025-08-01,2025-08-07,buldak,B.D,UCmaNYM3Gy2OKnjVLQ77Wc0g,1,9975,100,2,132000,11,102,
2025-08-01,2025-08-07,buldak,BRYKHEN VLOG,UCcsPErQXg_wxbGFNVbuIVew,1,100,1,0,4080,1184,1,
2025-08-01,2025-08-07,buldak,Bachu Bachu,UCLVMpD2oKimTfi4KM30f1lQ,1,828,14,2,41,27,16,
2025-08-01,2025-08-07,buldak,BaddieEats,UCDr239GDKMOi11c_RFV7aGw,1,7653,118,9,73400,45,127,
2025-08-01,2025-08-07,buldak,BeetleMeJuice,UCsEkbricr81-sVMe6RanC0A,1,1089,17,2,42,74,19,
2025-08-01,2025-08-07,buldak,Best food,UCzLecMWe6cpAYHCG9NpbrUA,1,955,6,0,11,54,6,
2025-08-01,2025-08-07,buldak,Big Back Ben,UCaQBgKI81AFkolVSefRCLuA,1,2180,15,2,105,8,17,
2025-08-01,2025-08-07,buldak,Blissful Noodle ASMR,UC8MDs8DbM3B4bKFqEz-trdw,1,1792,25,0,670,174,25,
2025-08-01,2025-08-07,buldak,Bloom Tunes,UCXCHpKTuubNNFQkCF9HlBjQ,1,1830,22,0,35,14,22,
2025-08-01,2025-08-07,buldak,Buldak Official,UCr_12XWor63n79-cbWg-N3Q,1,2913,28,1,346000,449,29,
2025-08-01,2025-08-07,buldak,Burning Marcel,UCYImO1S4rdJ4VctkHc5uMDQ,2,3373,24,6,1790,614,30,
2025-08-01,2025-08-07,buldak,COMBOBITE,UCm507ppr-tiXf463fmAwNxw,2,24399,1044,8,796,53,1052,
2025-08-01,2025-08-07,buldak,Cabreranali,UCVLBmLfeIC7AcEosTqOSdqw,2,36,2,0,19,152,2,
2025-08-01,2025-08-07,buldak,Charge Below 10 Percent,UCaT3OjVHMjHhphtT0y-zhDw,1,1838,16,2,125,49,18,
2025-08-01,2025-08-07,buldak,Chef Me Not,UC5NThkb-6nIWco4OBfDkogA,1,2684,26,1,487,248,27,
2025-08-01,2025-08-07,buldak,Choetina,UCJ6Ze1ZDfoKAD0ribxzb-hQ,1,30096,1580,24,7580,207,1604,
2025-08-01,2025-08-07,buldak,Chong and Pat,UCr9Xs78hMyF4UT_dazFV5Kw,1,4198,233,1,49600,501,234,
2025-08-01,2025-08-07,buldak,Chris Parayno,UC-WNzyemqDHw7jvY3zmJ9nw,1,2016,12,0,1320,831,12,
2025-08-01,2025-08-07,buldak,CityScope,UCPyQ1CQ5HlUeQwNoAj3Id9g,1,2076,20,0,77,251,20,
2025-08-01,2025-08-07,buldak,Claude Flanagan,UC2t6UzJEhmy80fo_jHgL9fA,1,6150,168,4,40,88,172,
2025-08-01,2025-08-07,buldak,Coco__shady,UCmqkuJ_eI4be_UDch7BVMOA,1,5683,249,18,341,24,267,
2025-08-01,2025-08-07,buldak,Comida con historia ,UCQTaBw25VcCo1r_00doodBA,1,1285,20,0,1530,252,20,
2025-08-01,2025-08-07,buldak,Cook With Mamy,UCZ4g1AyZ0QvZlC7KuNKn6vA,1,25,1,1,97,175,2,
2025-08-01,2025-08-07,buldak,Cook With Shaziya,UCt_McNUbzPF5nAWFzyybqlw,1,31749,750,7,2160,458,757,
2025-08-01,2025-08-07,buldak,Cook with Zeo,UCO7W4PMJFRK4XaCxjnl6DWg,1,4226,39,0,196,32,39,
2025-08-01,2025-08-07,buldak,Cooking by Rubina,UCndLKS44GKC4pFOwh3s1BVg,1,2,0,0,0,1,0,
2025-08-01,2025-08-07,buldak,Core Chum,UCUxAbkYRW95dRDNS7AO7saA,1,1564,19,1,15700,483,20,
2025-08-01,2025-08-07,buldak,CrybabyToEarthling,UCNI5Bexypshn0ggQjnK9TEQ,1,1852,20,0,457,276,20,
2025-08-01,2025-08-07,buldak,Crystal,UCbPbRHtH7xjvg4y2j6m0xMA,1,2406,56,4,136,32,60,
2025-08-01,2025-08-07,buldak,Cuslicious Bites,UCoaJ1dW5PW4RRcBYk4wjq3g,1,91,7,0,1070,109,7,
2025-08-01,2025-08-07,buldak,Cutie Pie Pinky Doll,UCcn2qkYMq5ysHs_0wzbOv7A,1,123,2,0,1050,167,2,
2025-08-01,2025-08-07,buldak,DCCOnline,UC-VIFplfnB3O2lCYA81MDMQ,1,1195,13,0,3,3,13,
2025-08-01,2025-08-07,buldak,DUI GUMJA VLOGS,UCsCSIeNR1-3toFLUZplpvcw,1,727,67,32,411,30,99,
2025-08-01,2025-08-07,buldak,Deil World,UC5Wl9S-esj7Cb3wi4brpJig,2,54937,2249,11,6970,81,2260,
2025-08-01,2025-08-07,buldak,Delia and Lexie’s Kandi,UCtso_6N3P0ZfTVwEP7TyLCg,1,1107,8,0,30,74,8,
2025-08-01,2025-08-07,buldak,Deserae Sanchez,UC8lagMv7R30AjAJ6Ek3jCEg,1,334,2,0,0,1,2,
2025-08-01,2025-08-07,buldak,Diana_n_Anna🎀🌸,UCjbR54fXFINHFvn397NlRUA,2,34242,570,59,1080,111,629,
2025-08-01,2025-08-07,buldak,Diane Mattos,UCOStOfLttqvCw1rGJJQ8Kvg,1,1104,7,0,1,81,7,
2025-08-01,2025-08-07,buldak,Dimplesmichelle,UCxY25exZQ6k1Dp5jTyaslqg,2,5369,70,2,1970,457,72,
2025-08-01,2025-08-07,buldak,Diyana Bhat,UCL5OgYjuCfk93E1edYQ_HJg,1,816,20,8,59,2,28,
2025-08-01,2025-08-07,buldak,DumDum,UCuBUWpWfEa4xTce2weqJsBQ,1,4896,239,2,2130,353,241,
2025-08-01,2025-08-07,buldak,Dumb Cook Diaries,UCjgFSEnvfAiLFRaapmvN23w,4,256059,4626,24,2950,161,4650,
2025-08-01,2025-08-07,buldak,Dungeons and Dragons with Dave,UCImKdzfGeFsnQFkTKuBnlvA,4,175,1,0,843,1663,1,
2025-08-01,2025-08-07,buldak,EOsips&bites,UCOU32EeyVDddZY_XymnVqrg,1,1228,15,0,96,71,15,
2025-08-01,2025-08-07,buldak,EatinG,UCoSaHM636NnwRTOblEiEwxA,1,1304,14,3,14,10,17,
2025-08-01,2025-08-07,buldak,Edibe Yüksel,UCjvhHSenFiYftsEJQupeFSA,2,2511,20,0,5370,27323,20,
2025-08-01,2025-08-07,buldak,Ellen Park,UCrA8oN8eS7coosn_9cBQ4fQ,1,545357,32822,141,893000,517,32963,
2025-08-01,2025-08-07,buldak,Enjoythelife,UC5ho6MnfF-nrxad4CSZDaNQ,1,1718,16,0,21,8,16,
2025-08-01,2025-08-07,buldak,Eryn SHOW,UCPKUk9iUEt6pIbfoG9l481Q,1,53986,2005,23,64900,473,2028,
2025-08-01,2025-08-07,buldak,Esma_vlogsss🎀🫢,UCeA8siT5DkTOqe4WkOor0NA,1,19,2,0,19,83,2,
2025-08-01,2025-08-07,buldak,Everything 2 Watch Now,UCY8Imzd3Sw4OrC8RxonD3jw,1,2337,175,3,986,122,178,
2025-08-01,2025-08-07,buldak,Everything Era,UC-zf2De3eiaWO3IKBzE9r4A,1,12365,219,59,141,19,278,
2025-08-01,2025-08-07,buldak,Ez Sushi,UCjvfKnbhOA7H0eIfr5Au9VQ,1,10957,327,2,8820,156,329,
2025-08-01,2025-08-07,buldak,F&H Crafts,UCpwTkZSlExZAtZeSZo_FZYQ,1,42,4,0,276,176,4,
2025-08-01,2025-08-07,buldak,FOOD ENTER,UCPoQmPnBRqMfGGYBll9ZBMA,1,32398,473,1,152000,135,474,
2025-08-01,2025-08-07,buldak,Fairy Tanton,UCGG1nTH_ubFETs-dy-gJViA,1,747,30,1,1200,567,31,
2025-08-01,2025-08-07,buldak,FastFoodGuy,UCAHZX9sjpUExg3QQd16Hy2g,1,33396,654,5,13100,113,659,
2025-08-01,2025-08-07,buldak,Feastmode,UChktk0FUriylbsA76VmGlpA,1,2,0,0,2,63,0,
2025-08-01,2025-08-07,buldak,Fion’s Arts,UCd7gmn-WybWRbeV3zJIJTfQ,1,1258,16,2,43,34,18,
2025-08-01,2025-08-07,buldak,FitiCam,UCiTK33Wbtv8bGE-4Mf3TMVw,1,12338,324,9,76,34,333,
2025-08-01,2025-08-07,buldak,Food Seeker Sri Lanka,UC913D4pK6SZfTIYywhI4eMg,1,1830,11,0,3280,234,11,
2025-08-01,2025-08-07,buldak,Food ka khajana,UCwm9JzfPM_wooCSZJwgL_iQ,1,2167,24,0,223,97,24,
2025-08-01,2025-08-07,buldak,Food kahani,UCzfQlHzhxYXp_JP2OmYVr4g,1,629,4,0,2030,982,4,
2025-08-01,2025-08-07,buldak,Foodie Arjun,UCHJui7yXLXWgMtyVQ4gSaMA,1,15833,0,40,1010,41,40,
2025-08-01,2025-08-07,buldak,Foodie Laiba,UCcxXBh_Hs-cOk7rLBaM18uQ,1,15539,459,7,239,51,466,
2025-08-01,2025-08-07,buldak,Foodie cook Nishu,UCffvuc54dtTvkmhrDLIvNyQ,2,5905,90,7,487,455,97,
2025-08-01,2025-08-07,buldak,FoodiePiggy,UC29I-hWJ0sQv-AQs9OorbtQ,1,21551,396,2,752,64,398,
2025-08-01,2025-08-07,buldak,Fran Sañudo,UCaE0a_8czpoRLyVjNJY6gYg,1,22021,1409,10,25600,174,1419,
2025-08-01,2025-08-07,buldak,Frc,UCgkoGD9q0YdV5O_vZ04PCpg,1,182,8,1,772,128,9,
2025-08-01,2025-08-07,buldak,Freddsters,UCXBLcGNLMDwzUNFyUDi7FPg,1,2889,138,5,74300,658,143,
2025-08-01,2025-08-07,buldak,GEN Z YT,UCVBaOjEqTM9oUm9PoFRAQ4w,2,11092,0,0,673,49,0,
2025-08-01,2025-08-07,buldak,Garik_Buharik,UCp3lVAvhkDulCS6Zt6GfObA,1,493,17,21,336,742,38,
2025-08-01,2025-08-07,buldak,Gate of Korea,UCxxKkBdywIy0N1VkflhdGrw,1,5231,39,2,623,72,41,
2025-08-01,2025-08-07,buldak,George Jones,UCq-Bv20TG7Yysur5c1i1o_A,1,1160,4,0,134,314,4,
2025-08-01,2025-08-07,buldak,Goky Eats,UCa4nMHWVUirT5JcBvLC8i4A,1,2499,25,0,285,49,25,
2025-08-01,2025-08-07,buldak,G’s Takoyaki Bar,UC3nuBFMe8EOAE94q9351F9A,1,1104,9,0,3,12,9,
2025-08-01,2025-08-07,buldak,HALAL EATS,UCWq5OBzL5NrWiPzhVpaahLQ,1,687,4,1,1810,1036,5,
2025-08-01,2025-08-07,buldak,HELYUMMY ,UCf0oBfmnrxZHYJHkWBaD-mQ,1,160510,1443,89,7930,49,1532,
2025-08-01,2025-08-07,buldak,Hafsa Tasneem,UCwmNFUSbezcCwo_oYg3Mdhw,1,2483,27,0,9460,47,27,
2025-08-01,2025-08-07,buldak,Hafsa's kitchen vlog,UCpn3ajugOng984vpdGC2GWA,1,103,9,2,2190,336,11,
2025-08-01,2025-08-07,buldak,Hailey Kim,UCHprAdWU4e5MWEZEUlfjxOg,1,35064,813,51,32900,70,864,
2025-08-01,2025-08-07,buldak,Happyday paper,UCg7kKTKtR31lQXAtpAN4Omg,1,1524,15,0,7810,222,15,
2025-08-01,2025-08-07,buldak,HoneyJJU,UCzMwv2YaAyIgNrCIM8AADRA,1,16,3,1,5,5,4,
2025-08-01,2025-08-07,buldak,Hoorain Vlogs,UCfSGt1vAqPUYMMgpF9rax9g,1,1008,11,1,371,24,12,
2025-08-01,2025-08-07,buldak,Huzaifa Hamid,UCHVsVJrNHVasSKvNT6cz0Qw,1,546,9,4,6,6,13,
2025-08-01,2025-08-07,buldak,Icey★,UCvanKOlMxZJPY6rx0ZWdThg,1,585,7,8,88,177,15,
2025-08-01,2025-08-07,buldak,Imronsodiq,UCqGl6_nAoLQdAFb36N_oWfg,1,73,0,0,36,24,0,
2025-08-01,2025-08-07,buldak,IrelandsGrub,UCJ6odxU-AuWWtt0ZxPbWFyw,1,1430,17,0,1480,369,17,
2025-08-01,2025-08-07,buldak,Isha & Inspi ,UCgR3idRqEN49JHscuj-aYbQ,1,1769,53,2,45,78,55,
2025-08-01,2025-08-07,buldak,Iya ฅ^•ﻌ•^ฅ,UCcjfBDwQVGOtL7amg56oFkg,1,8,0,0,45,19,0,
2025-08-01,2025-08-07,buldak,JAN & GRASYA,UCnag-W7Qha1W2eXgH00YStA,1,976,16,6,116000,4667,22,
2025-08-01,2025-08-07,buldak,JOH🧋,UCoodQgNagX6Y_KVL8DwlhUA,2,71867,1541,12,1230000,940,1553,
2025-08-01,2025-08-07,buldak,JOY,UCVSF7d_TdRDBchnzlSWusmw,1,1396,50,5,3590,30,55,
2025-08-01,2025-08-07,buldak,Jacy,UCAyQaEkT16i6ht4Q2bdsnXw,1,11885,537,8,20300,102,545,
2025-08-01,2025-08-07,buldak,Jada Nacole ,UCVV7WKxSWSvenqQgFxYsz7w,1,3427,250,2,924,70,252,
2025-08-01,2025-08-07,buldak,Jahangir Khan,UCMYGmIhgP67HJUCdOU3lpng,1,93,5,0,60300,199,5,
2025-08-01,2025-08-07,buldak,Jake Anderson,UCyDsYkN2CBrKWDtnRTTLCqw,1,83,5,2,18,29,7,
2025-08-01,2025-08-07,buldak,James Allen,UCLhwry6GjbA4SOJ0NueH9jA,1,4118,112,1,57,114,113,
2025-08-01,2025-08-07,buldak,James Richardson,UCfSuWVOV18awVhItCP3l5kg,1,0,0,0,7,138,0,
2025-08-01,2025-08-07,buldak,Jason Chancey,UCNvo47hnrhLjKoFKEeW-c5A,1,62,0,0,0,41,0,
2025-08-01,2025-08-07,buldak,Jason Does Sh*t,UCdlDjqPJL-wuIE04Xp4uZ3A,1,19415,712,121,7010,9,833,
2025-08-01,2025-08-07,buldak,Jenny Daily Eats,UCVGneRlO1zcGo6XXIBwGs-Q,1,1170,24,2,51,30,26,
2025-08-01,2025-08-07,buldak,Jess,UCPv6vM5td8ngirif2D3g1rg,5,21190,1709,33,948,102,1742,
2025-08-01,2025-08-07,buldak,Jessica,UC5vZHS_GetPnS9PMlIc-UxQ,1,607,9,0,61,302,9,
2025-08-01,2025-08-07,buldak,Jimmy,UCpQMWAXI769CEYpvu68LIAg,1,1048,10,0,3180,158,10,
2025-08-01,2025-08-07,buldak,Jo's Life,UCAG2wXYSG_vcJO2XZtkfXDw,1,240,5,3,132,103,8,
2025-08-01,2025-08-07,buldak,Joel Delp,UCESUHErNRSomaGD_UdetVnw,1,3010,27,4,35,134,31,
2025-08-01,2025-08-07,buldak,Juliette ,UCUnR0zbk4Uo_wqHAg4EAycg,1,6125,136,11,49,7,147,
2025-08-01,2025-08-07,buldak,JustStuff,UC7u5JmOtFtt4j-ByJOACA3Q,1,21,5,2,14,21,7,
2025-08-01,2025-08-07,buldak,K - Bites,UCDWYRv7_9r_QEGeNH1NSWag,1,16094,664,2,74,2,666,
2025-08-01,2025-08-07,buldak,K YAMMY,UCZ8iib4O7Zi2GowHna-Ju4g,1,41623,1500,30,154,59,1530,
2025-08-01,2025-08-07,buldak,KAOMURRA,UCXDcJWqWEDJByyTkh3SKeVw,1,1047,12,6,444,73,18,
2025-08-01,2025-08-07,buldak,Karisma,UCnxWybDoiwvuMo2JJGw4uAA,1,1255,9,0,2,1,9,
2025-08-01,2025-08-07,buldak,Katalina Lynn,UCjwKNL659UeoCF3suVVauWg,1,2825,134,7,14300,289,141,
2025-08-01,2025-08-07,buldak,Kayleigh Lee,UCCn7DMlPZtwpwl7CwDjPDqA,1,1142,6,0,24,230,6,
2025-08-01,2025-08-07,buldak,Kee2xs,UCOI2tLkInKkAITqytKqmhiw,1,1165,33,5,1170,188,38,
2025-08-01,2025-08-07,buldak,Keshia Justina,UCd0NCOMr4xIzcjB24OVPvrQ,1,930,9,0,1360,438,9,
2025-08-01,2025-08-07,buldak,Kim&Liz ASMR,UCZ8MqcJVNNq6d1KARqqI19g,1,177765,5011,88,8130000,2776,5099,
2025-08-01,2025-08-07,buldak,KingVanion,UCrdY4mvDHqi2q-VEDwWeyAA,1,2144,12,2,1060,308,14,
2025-08-01,2025-08-07,buldak,Kingle Kitchen,UCkh_fGnB0J2gcHjH0u9f8MA,1,11881,184,12,871,24,196,
2025-08-01,2025-08-07,buldak,Kishi,UCb5G8CQVrhDRw8fYcT6x34w,1,4245,63,0,28,21,63,
2025-08-01,2025-08-07,buldak,Kittybels gaming and mukbang and vyond and more,UCL1RLl6W2E2I1klKojk1SQQ,1,278,4,1,825,609,5,
2025-08-01,2025-08-07,buldak,KoreaSpoon,UCaSWptCcGxdzI_9-Hd0_ntA,1,1399,9,1,673,74,10,
2025-08-01,2025-08-07,buldak,Korean Ajossi,UCSM9sMvL4VjPMvZskQC1cHw,1,6672,33,6,7,2,39,
2025-08-01,2025-08-07,buldak,Korean Fast Fix,UCpGlOX5LXurY4EtqgUw_8Vg,1,113702,2291,79,30400,31,2370,
2025-08-01,2025-08-07,buldak,Kurnool Reddamma,UCAX7FOYntHGuqz_qjsF9-7Q,1,1398,0,1,54,13,1,
2025-08-01,2025-08-07,buldak,LENSI LINA,UCJB4PHAJERQmkcXjvRxa4vA,1,7517,51,7,2300,2159,58,
2025-08-01,2025-08-07,buldak,LUCKY HANDO,UCYxvnqXGyAsj4pR5jgYyU3g,1,3432,56,1,6570,275,57,
2025-08-01,2025-08-07,buldak,LagodaNarezka,UCYS3Bz9kX3ZQ6l-PWPXR5Xg,1,1044,4,0,0,17,4,
2025-08-01,2025-08-07,buldak,Late Night Anna,UCPD3iK_-oR95TvtHcdJbdiw,1,973225,36992,421,100000,263,37413,
2025-08-01,2025-08-07,buldak,Lhundub Garpa,UCncWiVYFX1qufSrrKaw2yfA,1,128,9,4,2250,212,13,
2025-08-01,2025-08-07,buldak,LiLiEATS ASMR,UCAeQiaUQvMcDUxSTtGlWPoQ,2,3498,84,15,910,130,99,
2025-08-01,2025-08-07,buldak,Life Of Cam,UCA9V7tMLPZQ4YquOIZLW9bw,1,1047,9,2,838,2476,11,
2025-08-01,2025-08-07,buldak,Life With Zeyenne,UCoSSe3ReXfYc5NudRjrpSKg,1,1657,10,2,62,41,12,
2025-08-01,2025-08-07,buldak,Life with Maiya🩰🎞️,UCaV5zBiiww9Xqkz7_JxRt8Q,1,966,20,11,59,24,31,
2025-08-01,2025-08-07,buldak,Life~With~Sonam,UCB2Te98uyjpHCkZ74VAXyDQ,1,15421,0,3,54,13,3,
2025-08-01,2025-08-07,buldak,Living_Thru_love ,UCHeGFhVNzCEHp6hKp0lkOmw,1,500,7,4,20,77,11,
2025-08-01,2025-08-07,buldak,Love Lane,UCA9u6EfvQyZjJCwwEgQZEOg,1,114,7,8,4840,234,15,
2025-08-01,2025-08-07,buldak,Lucia Robinson,UCGfmnYaUEzi0kJ9Lzh-wKAQ,1,717,7,0,124,286,7,
2025-08-01,2025-08-07,buldak,LuhOne,UCuOGRGgzf-RF79BWgSOCF7g,1,1455,20,2,37400,303,22,
2025-08-01,2025-08-07,buldak,Luna’s Life!,UChIfjNxl0SL3ctsF-zr_Idw,1,13,1,0,36,61,1,
2025-08-01,2025-08-07,buldak,M0nst3r d00dl3z,UCuOCHvHfi2ohkMjpzTsJ-0Q,1,59,2,1,5150,118,3,
2025-08-01,2025-08-07,buldak,MAYA 마야 KOREAN,UCNBK4iarIH7ePAitaMd_tNw,1,437,4,0,12,5,4,
2025-08-01,2025-08-07,buldak,MEGHNA’S LIFE,UCrb3upLKbnPycJA3eupl6LA,1,10574,0,2,1440,368,2,
