keyword,date,video_mentions,top_channels
soon hari,2025-08-29,0,
soon hari,2025-08-30,0,
soon hari,2025-08-31,1,Oneway
soon hari,2025-09-01,0,
soon hari,2025-09-02,0,
soon hari,2025-09-03,0,
starkist,2025-08-28,3,jason callan;That's life;Chell Be Chell T.V.
starkist,2025-08-29,1,Hogs Fan 4 Life
starkist,2025-08-30,1,Fake Commercials Ent
starkist,2025-08-31,0,
starkist,2025-09-01,0,
starkist,2025-09-02,2,OnlineDealDigger;Dana Stiggers Ramsey
starkist,2025-09-03,0,
terra beer,2025-08-28,0,
terra beer,2025-08-29,0,
terra beer,2025-08-30,0,
terra beer,2025-08-31,0,
terra beer,2025-09-01,0,
terra beer,2025-09-02,0,
terra beer,2025-09-03,0,
toomba,2025-08-28,1,Sahiblive
toomba,2025-08-29,1,Vaishali Khurana 🌹
toomba,2025-08-30,1,Mahnoor Lifestyle 
toomba,2025-08-31,0,
toomba,2025-09-01,2,Lucas Hittesdorf;야 식 
toomba,2025-09-02,0,
toomba,2025-09-03,0,
turtle chips,2025-08-28,1,JONNY BLITZ FOOD REVIEW
turtle chips,2025-08-29,0,
turtle chips,2025-08-30,4,Hiprockdiva;Andy Shen;X$akaSmerfderty
turtle chips,2025-08-31,0,
turtle chips,2025-09-01,1,Tom Wang
turtle chips,2025-09-02,1,Uncle Ed
turtle chips,2025-09-03,0,
